GCxGC_Bin,Formula,Reference_Compound,Family,Carbon_Count,exp_Tb_K,Tb_source,exp_Tm_K,Tm_source,exp_omega,omega_source
Toluene,C7H8,toluene,alkyl_benzene,7,383.8,nist,178.2,nist,0.263,nist
C2-Benzene,C8H10,ethyl benzene,alkyl_benzene,8,409.3,nist,178.2,nist,0.303,nist
C3-Benzene,C9H12,propyl benzene,alkyl_benzene,9,432.4,nist,173.6,nist,0.344,nist
C4-Benzene,C10H14,butyl benzene,alkyl_benzene,10,456.5,nist,185.3,nist,0.393,nist
C5-Benzene,C11H16,pentyl benzene,alkyl_benzene,11,478.6,nist,,,,
C6-Benzene,C12H18,hexyl benzene,alkyl_benzene,12,499.3,nist,,,,
C7-Benzene,C13H20,heptyl benzene,alkyl_benzene,13,520.0,series,,,,
C8-Benzene,C14H22,octyl benzene,alkyl_benzene,14,540.7,series,,,,
C9-Benzene,C15H24,nonyl benzene,alkyl_benzene,15,561.4,series,,,,
C10-Benzene,C16H26,decyl benzene,alkyl_benzene,16,582.0999999999999,series,,,,
Diaromatic-C10,C10H8,naphthalene,di_arom,10,491.1,nist,353.4,nist,0.302,nist
Diaromatic-C11,C11H10,1-methyl naphthalene,di_arom,11,517.8,nist,242.7,nist,0.348,nist
Diaromatic-C12,C12H12,1-ethyl naphthalene,di_arom,12,544.4999999999999,series,,,,
Diaromatic-C13,C13H14,1-propyl naphthalene,di_arom,13,571.1999999999998,series,,,,
Diaromatic-C14,C14H16,1-butyl naphthalene,di_arom,14,597.8999999999997,series,,,,
Cycloaromatic-C09,C9H10,indane,cyclo_arom,9,451.1,nist,221.7,nist,,
Cycloaromatic-C10,C10H12,tetralin,cyclo_arom,10,480.8,nist,237.4,nist,0.335,nist
Cycloaromatic-C11,C11H14,2-methyl tetralin,cyclo_arom,11,500.8,series,,,,
Cycloaromatic-C12,C12H16,2-ethly tetralin,cyclo_arom,12,520.8,series,,,,
Cycloaromatic-C13,C13H18,2-propyl tetralin,cyclo_arom,13,540.8,series,,,,
Cycloaromatic-C14,C14H20,2-butyl tetralin,cyclo_arom,14,560.8,series,,,,
Cycloaromatic-C15,C15H22,2-pentyl tetralin,cyclo_arom,15,580.8,series,,,,
C07-Isoparaffin,C7H16,2-methyl hexane,iso_alkane,7,363.2,nist,154.9,nist,,
C08-Isoparaffin,C8H18,2-methyl heptane,iso_alkane,8,390.8,nist,164.2,nist,,
C09-Isoparaffin,C9H20,2-methyl octane,iso_alkane,9,416.4,nist,192.85,nist_pureComponentReference,,
